Locality,count,mean,std,min,25%,50%,75%,max
Hawthorn East,23.0,1717217.391304348,875042.9577258552,420000.0,1195000.0,1600000.0,2156000.0,3560000.0
Healesville,83.0,639936.7469879518,214995.85164522295,340000.0,481000.0,583000.0,733000.0,1522500.0
Heatherton,9.0,1075433.3333333333,440428.24614232,712000.0,774900.0,992000.0,1080000.0,2140000.0
Heathmont,78.0,980256.3974358974,233984.35696887664,500000.0,850000.0,956000.0,1063750.0,1825000.0
Heidelberg,26.0,1239173.076923077,231195.28292366574,600000.0,1111250.0,1293500.0,1423750.0,1540000.0
Heidelberg Heights,44.0,863022.7272727273,224704.94748658105,410000.0,700750.0,867500.0,1002125.0,1425000.0
Heidelberg West,43.0,734453.4883720931,154272.9420290656,463000.0,610000.0,730000.0,842500.0,1265000.0
Highett,56.0,1231138.392857143,314428.6735119128,680500.0,1030750.0,1249500.0,1430000.0,2007000.0
Hillside,100.0,632296.0,174063.96126166097,135000.0,515250.0,629000.0,727750.0,1550000.0
Hoddles Creek,8.0,697750.0,156214.82461204324,435000.0,622750.0,715000.0,801500.0,880000.0
Hoppers Crossing,414.0,541651.0724637681,123523.68406159889,302500.0,475250.0,520000.0,592250.0,1415000.0
Hughesdale,12.0,1517625.0,678155.4905168739,842500.0,1104500.0,1412500.0,1582500.0,3420000.0
Huntingdale,11.0,1187163.6363636365,127062.56154137044,1080000.0,1116000.0,1145000.0,1171000.0,1452000.0
Hurstbridge,26.0,757942.3076923077,159285.6130931527,546000.0,637750.0,732500.0,822000.0,1300000.0
Ivanhoe,38.0,1530585.2368421052,640704.9789529535,705239.0,992500.0,1358000.0,1903750.0,3020000.0
Ivanhoe East,13.0,2066153.8461538462,452954.1636401793,1431000.0,1853000.0,2026000.0,2365000.0,2950000.0
Jacana,15.0,525716.6666666666,85848.22917440378,340000.0,475000.0,537000.0,588250.0,665000.0
Jam Jerrup,1.0,445000.0,,445000.0,445000.0,445000.0,445000.0,445000.0
Junction Village,11.0,504727.2727272727,206101.47544794087,290000.0,415000.0,440000.0,462500.0,975000.0
Kalkallo,2.0,441500.0,9192.388155425118,435000.0,438250.0,441500.0,444750.0,448000.0
Kallista,14.0,702642.8571428572,133937.76232199857,550000.0,591250.0,680000.0,793750.0,955000.0
